,MTS,OPEN,CLOSE,HIGH,LOW,VOLUME,DT
0,1629471600000,48579.0,48396.0,48614.0,48250.0,370.766004,2021-08-21 00:00:00
1,1629473400000,48394.0,48719.0,48719.0,48356.0,116.77550309,2021-08-21 00:30:00
2,1629475200000,48719.0,49051.77102156,49067.77894776,48621.0,379.97265921,2021-08-21 01:00:00
3,1629477000000,49052.0,48771.43823599,49109.0,48526.33510699,174.51193738999999,2021-08-21 01:30:00
4,1629478800000,48771.0,48682.71605083,48878.0,48673.81736443,68.89682673,2021-08-21 02:00:00
5,1629480600000,48682.71605083,48686.0,48748.51640288,48606.0,180.08460768999998,2021-08-21 02:30:00
6,1629482400000,48686.65909514,48534.0,48734.61472331,48530.0,58.92532496,2021-08-21 03:00:00
7,1629484200000,48534.0,48466.7649952,48589.0,48315.17830518,81.95376878,2021-08-21 03:30:00
8,1629486000000,48467.0,48584.36934134,48637.0,48455.0,27.04922632,2021-08-21 04:00:00
9,1629487800000,48584.65799933,48695.49552922,48750.0,48584.0,78.6115904,2021-08-21 04:30:00
10,1629489600000,48707.0,48829.35706804,48844.0,48649.18646845,47.80212273,2021-08-21 05:00:00
11,1629491400000,48828.0,48664.80091353,48840.0,48644.59780765,56.14013758,2021-08-21 05:30:00
12,1629493200000,48660.0,48756.0,48774.0,48660.0,56.59106371,2021-08-21 06:00:00
13,1629495000000,48758.34245973,49337.0,49400.0,48758.34245973,262.82130217,2021-08-21 06:30:00
14,1629496800000,49336.0,49128.07840274,49375.0,49065.0,153.86191721,2021-08-21 07:00:00
15,1629498600000,49123.0,49223.0,49243.0,48977.0,119.9010565,2021-08-21 07:30:00
16,1629500400000,49223.0,49203.0,49300.0,49130.55549281,94.71765521,2021-08-21 08:00:00
17,1629502200000,49203.0,49330.49713104,49373.0,49049.99693438,95.53725164,2021-08-21 08:30:00
18,1629504000000,49333.0,48860.0,49374.0,48850.0,241.5954905,2021-08-21 09:00:00
19,1629505800000,48859.0,48926.0,49080.0,48776.0,93.49467635,2021-08-21 09:30:00
20,1629507600000,48925.0,48906.0,49037.0,48848.0,45.37985312,2021-08-21 10:00:00
21,1629509400000,48897.0,49067.0,49087.0,48857.0,49.40126507,2021-08-21 10:30:00
22,1629511200000,49064.0,49088.0,49088.0,48982.0,49.07252206,2021-08-21 11:00:00
23,1629513000000,49087.72794049,48882.0,49100.0,48842.0,36.27077525,2021-08-21 11:30:00
24,1629514800000,48873.0,48828.0,48901.0,48723.0,37.69086794,2021-08-21 12:00:00
25,1629516600000,48828.0,48835.0,48936.0,48804.0,26.19101919,2021-08-21 12:30:00
26,1629518400000,48837.0,48723.0,48837.0,48592.0,47.22861098,2021-08-21 13:00:00
27,1629520200000,48724.0,48655.0,48820.0,48655.0,96.17751475,2021-08-21 13:30:00
28,1629522000000,48655.0,48929.0,49001.0,48615.07509475,114.72364844,2021-08-21 14:00:00
29,1629523800000,48931.0,48873.0,48963.0,48797.54830861,35.19597395,2021-08-21 14:30:00
30,1629525600000,48876.0,48825.0,48876.0,48723.0,64.114574,2021-08-21 15:00:00
31,1629527400000,48824.0,48710.0,48824.0,48641.0,30.99973084,2021-08-21 15:30:00
32,1629529200000,48706.0,48919.0,48976.0,48653.0,40.42596019,2021-08-21 16:00:00
33,1629531000000,48912.0,48966.0,48999.0,48834.0,47.61601437,2021-08-21 16:30:00
34,1629532800000,48967.0,48934.40321901,49100.0,48922.0,71.32497329,2021-08-21 17:00:00
35,1629534600000,48927.0,48881.0,48927.0,48815.0,45.10837978,2021-08-21 17:30:00
36,1629536400000,48875.0,48850.00725053,48931.0,48784.0,13.8976851,2021-08-21 18:00:00
37,1629538200000,48852.0,48835.0,48938.0,48800.0,23.50307635,2021-08-21 18:30:00
38,1629540000000,48833.0,48918.0,48955.0,48795.20890844,17.5552661,2021-08-21 19:00:00
39,1629541800000,48909.0,49313.0,49352.0,48875.0,337.53018627,2021-08-21 19:30:00
40,1629543600000,49311.0,48383.0,49428.0,48219.0,353.99884984,2021-08-21 20:00:00
41,1629545400000,48384.0,48535.0,48597.0,48372.11203139,74.22733489,2021-08-21 20:30:00
42,1629547200000,48530.0,48674.0,48734.0,48463.0,86.7953205,2021-08-21 21:00:00
43,1629549000000,48680.0,49218.0,49339.0,48595.0,212.37962611,2021-08-21 21:30:00
44,1629550800000,49233.0,49288.0,49444.0,49057.0,106.93993653,2021-08-21 22:00:00
45,1629552600000,49277.0,49155.0,49304.02844711,49097.0,39.95815517,2021-08-21 22:30:00
46,1629554400000,49154.31516761,49070.0,49175.0,49000.0,73.4672886,2021-08-21 23:00:00
47,1629556200000,49055.0,49039.0,49116.0,48976.0,54.170695110000004,2021-08-21 23:30:00
